record_type,component,joint,occurrence_path,tag,other_component,world_x_m,world_y_m,world_z_m,local_x_m,local_y_m,local_z_m,distance_m,anchor_vec_x_m,anchor_vec_y_m,anchor_vec_z_m
distance,M_Top,MTop_MLeftLink1 <-> 회전 34,,,,,,,,,,0.04675310004850326,-0.01848548424875602,-0.006120222698350668,0.04250508334725321
distance,M_Top,강체 33 <-> 회전 34,,,,,,,,,,0.03577638455678486,-0.009985484248756053,-0.01112022269835065,0.032505083347253334
distance,F_Back,FBottom_FBack <-> FBack_FLeft,,,,,,,,,,0.03810824429981981,-0.0025000000000003197,0.018620222698358006,0.03315532521750165
distance,F_Back,FBottom_FBack <-> FBack_FRight,,,,,,,,,,0.07758382444091859,-0.0024999999999999823,0.018620222698358117,-0.07527474424760822
distance,F_Back,FBottom_FBack <-> FBack_FTop,,,,,,,,,,0.05790437856039934,-0.0025000000000011367,0.02862022269835805,-0.05027474424760825
distance,F_Back,FBack_FLeft <-> FBack_FRight,,,,,,,,,,0.10843006946510986,3.375077994860476e-16,1.1102230246251565e-16,-0.10843006946510986
distance,F_Back,FBack_FLeft <-> FBack_FTop,,,,,,,,,,0.08402723660190821,-8.171241461241152e-16,0.010000000000000045,-0.08343006946510989
distance,F_Back,FBack_FRight <-> FBack_FTop,,,,,,,,,,0.026925824035672466,-1.1546319456101628e-15,0.009999999999999934,0.024999999999999967
distance,base_link,FBottom_FBack <-> 회전 31,,,,,,,,,,0.03792914541130002,0.031133680225415798,-0.005,-0.02107875772556568
distance,base_link,FBottom_FBack <-> 슬라이더 35,,,,,,,,,,0.054494711635292944,0.050146680694705424,-0.004379777301655974,-0.02087586075602368
distance,base_link,FBottom_FBack <-> 강체 38,,,,,,,,,,0.02801721916713948,0.024064885183442825,0.008999999999994283,0.011173444901521851
distance,base_link,회전 31 <-> 슬라이더 35,,,,,,,,,,0.019024195915228536,0.01901300046928963,0.0006202226983440262,0.0002028969695420013
distance,base_link,회전 31 <-> 강체 38,,,,,,,,,,0.03586324633442954,-0.00706879504197297,0.013999999999994284,0.032252202627087535
distance,base_link,슬라이더 35 <-> 강체 38,,,,,,,,,,0.04343312665309572,-0.0260817955112626,0.013379777301650258,0.03204930565754553
distance,F_Left,FBack_FLeft <-> FLeft_LeftSlider,,,,,,,,,,0.023198019425247293,0.022542358182515744,-0.005476330233405973,3.508304757815495e-16
distance,F_Right,FBack_FRight <-> FRight_RightSlider,,,,,,,,,,0.02316246964380044,0.02249999999999947,-0.005500000000000065,1.7763568394002505e-17
distance,F_Top,FBack_FTop <-> FTop_RightLink2,,,,,,,,,,0.03957221556638128,0.038146680694705656,0.01,-0.0032849652674449815
distance,F_Top,FBack_FTop <-> FTop_RightLink1,,,,,,,,,,0.04971615917768024,0.0476466806947055,0.0049999999999999645,-0.013284965267444928
distance,F_Top,FBack_FTop <-> FTop_FLeftLink,,,,,,,,,,0.08624530357019329,0.04764668069470544,0.0049999999999999645,0.07171503473255507
distance,F_Top,FBack_FTop <-> FTop_Handle,,,,,,,,,,0.01,0.0,0.01,0.0
distance,F_Top,FTop_RightLink2 <-> FTop_RightLink1,,,,,,,,,,0.014671400751121083,0.009499999999999842,-0.005000000000000036,-0.009999999999999946
distance,F_Top,FTop_RightLink2 <-> FTop_FLeftLink,,,,,,,,,,0.07576443756803058,0.009499999999999788,-0.005000000000000036,0.07500000000000005
distance,F_Top,FTop_RightLink2 <-> FTop_Handle,,,,,,,,,,0.03828786028014818,-0.038146680694705656,0.0,0.0032849652674449815
distance,F_Top,FTop_RightLink1 <-> FTop_FLeftLink,,,,,,,,,,0.085,-5.329070518200751e-17,0.0,0.085
distance,F_Top,FTop_RightLink1 <-> FTop_Handle,,,,,,,,,,0.04971615917768025,-0.0476466806947055,0.005000000000000036,0.013284965267444928
