filename,n_vertices,n_faces,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,bbox_diagonal,principal_length,centroid_x,centroid_y,centroid_z,is_watertight,volume
M_LeftLink_1.stl,1812,604,-53.79598617553711,15.267908096313477,48.0,-47.64691162109375,35.52375030517578,148.0,6.149074554443359,20.255842208862305,100.0,102.21599807009875,100.03773586822835,-50.95304356926587,21.400749759168814,71.15822870789248,True,9632.37760816572
M_LeftLink_1_hull.stl,378,126,-53.79598617553711,15.267908096313477,48.0,-47.64691162109375,35.52375030517578,148.0,6.149074554443359,20.255842208862305,100.0,102.21599807009875,100.18218004086006,-50.86963103561805,24.896696027624543,67.43193606220225,True,9864.65229428157
M_Right1_1.stl,1680,560,-47.90945053100586,113.9188232421875,-6.346034808757395e-12,7.287731170654297,122.09344482421875,48.0,55.197181701660156,8.17462158203125,48.000000000006345,73.6040304998042,66.33388803767748,-12.292044993383543,117.56330022811889,38.46993820894319,True,12940.366007147013
M_Right1_1_hull.stl,72,24,-47.90945053100586,113.9188232421875,-6.346034808757395e-12,7.287731170654297,122.09344482421875,48.0,55.197181701660156,8.17462158203125,48.000000000006345,73.6040304998042,66.55306991647892,-10.272677037451002,117.00685617658827,26.240643792681023,True,13200.001127559104
M_Right2_1.stl,2640,880,-98.59362030029297,100.95496368408203,15.0,1.5278221368789673,111.73384857177734,48.0,100.12144243717194,10.778884887695312,33.0,105.96927665659571,102.07126204714416,-24.74402734732086,104.90028053052498,26.510577297210695,True,16024.905630723153
M_Right2_1_hull.stl,132,44,-98.59362030029297,100.95496368408203,15.0,1.5278221368789673,111.73384857177734,48.0,100.12144243717194,10.778884887695312,33.0,105.96927665659571,100.02676257170896,-29.627177186987616,104.69156317277388,28.940047842083555,True,16499.960534467013
M_RightLink_1.stl,1812,604,-49.45552444458008,90.14220428466797,48.0,-43.30644989013672,110.3980484008789,148.0,6.149074554443359,20.255844116210938,100.0,102.2159984480724,100.03773589741388,-46.149392576407124,104.2652060822409,71.15822970367162,True,9632.376836329157
M_RightLink_1_hull.stl,378,126,-49.45552444458008,90.14220428466797,48.0,-43.30644989013672,110.3980484008789,148.0,6.149074554443359,20.255844116210938,100.0,102.2159984480724,100.27202725580874,-46.387299229859046,100.8469313767852,67.98871894109817,True,9864.651590024332
M_Top_1.stl,2700,900,-52.49384689331055,0.6788668036460876,48.0,7.287731170654297,121.80408477783203,58.0,59.781578063964844,121.12521797418594,10.0,135.44428930417104,119.56052236926939,-25.864479782929024,58.7106102097476,53.233333333333334,True,60630.253896961476
M_Top_1_hull.stl,60,20,-52.49384689331055,0.6788668036460876,48.0,7.287731170654297,121.80408477783203,58.0,59.781578063964844,121.12521797418594,10.0,135.44428930417104,118.47510470079956,-31.24693599243959,61.829850139220554,53.0,True,63425.78706850135
NeedleBearing_1.stl,10476,3492,-116.93290710449219,54.10785675048828,14.379776954650879,-92.93827819824219,78.10517120361328,18.379777908325195,23.99462890625,23.997314453125,4.000000953674316,34.170357401411614,23.997602327937003,-104.93825480609324,66.10651511060868,16.379777431488037,True,1459.0481054287304
