# Velocity Control — Tablet Force Profile
# STL,tablet_R8.5_AR2.50_CV0.35.stl,R_mm,8.5,AR,2.5,CV,0.35
# target_rpm,8.0,kv,60.0,forcelim,120.0
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,0.00000,Impulse_Ns,0.000000

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
1.79000,0.00000,0.00000,0.00000,0.0543,0.3413
1.79200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.79400,0.00000,0.00000,0.00000,0.0543,0.3413
1.79600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.79800,0.00000,0.00000,0.00000,0.0543,0.3413
1.80000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.80200,0.00000,0.00000,0.00000,0.0543,0.3413
1.80400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.80600,0.00000,0.00000,0.00000,0.0543,0.3413
1.80800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.81000,0.00000,0.00000,0.00000,0.0543,0.3413
1.81200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.81400,0.00000,0.00000,0.00000,0.0543,0.3413
1.81600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.81800,0.00000,0.00000,0.00000,0.0543,0.3413
1.82000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.82200,0.00000,0.00000,0.00000,0.0543,0.3413
1.82400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.82600,0.00000,0.00000,0.00000,0.0543,0.3413
1.82800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.83000,0.00000,0.00000,0.00000,0.0543,0.3413
1.83200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.83400,0.00000,0.00000,0.00000,0.0543,0.3413
1.83600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.83800,0.00000,0.00000,0.00000,0.0543,0.3413
1.84000,0.00000,0.00000,0.00000,-0.0543,-0.3413
