# Crusher Tablet Simulation — slide joint
# Generated,2026-06-05T14:11:10
# STL,tablet_R4.0_AR1.00_CV0.08.stl,R_mm,4.0,AR,1.0,CV,0.08
# density_kg_m3,1200.0,slide_damping_Nsm,10.0
# solref_tau_s,0.020000
# MOTOR_CTRL_Nm,-0.5,MOTOR_DELAY_s,3.0
# F_Y_max_N,0.02606,F_Y_min_N,-0.02480,Impulse_Ns,-0.000815,disp_max_mm,1.6544

Time_s,F_X_N,F_Y_N,F_Z_N,F_mag_N,Slider_Y_mm,Tablet_Y_mm,Gap_mm,Slide_disp_mm,Slide_vel_mms,Crank_vel_rads,Motor_dir,ncon
26.34400,0.000000,0.000000,0.000000,0.000000,218.8088,335.2405,116.4317,0.08150,0.00000,-0.912689,CCW,0
26.34600,0.000000,0.000000,0.000000,0.000000,218.8461,335.2405,116.3944,0.08150,0.00000,-0.912075,CCW,0
26.34800,0.000000,0.000000,0.000000,0.000000,218.8834,335.2405,116.3571,0.08150,0.00000,-0.911462,CCW,0
26.35000,0.000000,0.000000,0.000000,0.000000,218.9206,335.2405,116.3199,0.08150,0.00000,-0.910850,CCW,0
26.35200,0.000000,0.000000,0.000000,0.000000,218.9579,335.2405,116.2826,0.08150,0.00000,-0.910239,CCW,0
26.35400,0.000000,0.000000,0.000000,0.000000,218.9951,335.2405,116.2454,0.08150,0.00000,-0.909630,CCW,0
26.35600,0.000000,0.000000,0.000000,0.000000,219.0322,335.2405,116.2083,0.08150,0.00000,-0.909021,CCW,0
26.35800,0.000000,0.000000,0.000000,0.000000,219.0694,335.2405,116.1711,0.08150,0.00000,-0.908414,CCW,0
26.36000,0.000000,0.000000,0.000000,0.000000,219.1065,335.2405,116.1340,0.08150,0.00000,-0.907808,CCW,0
26.36200,0.000000,0.000000,0.000000,0.000000,219.1436,335.2405,116.0969,0.08150,0.00000,-0.907203,CCW,0
26.36400,0.000000,0.000000,0.000000,0.000000,219.1806,335.2405,116.0599,0.08150,0.00000,-0.906600,CCW,0
26.36600,0.000000,0.000000,0.000000,0.000000,219.2177,335.2405,116.0228,0.08150,0.00000,-0.905997,CCW,0
26.36800,0.000000,0.000000,0.000000,0.000000,219.2547,335.2405,115.9858,0.08150,0.00000,-0.905396,CCW,0
26.37000,0.000000,0.000000,0.000000,0.000000,219.2916,335.2405,115.9489,0.08150,0.00000,-0.904796,CCW,0
26.37200,0.000000,0.000000,0.000000,0.000000,219.3286,335.2405,115.9119,0.08150,0.00000,-0.904197,CCW,0
26.37400,0.000000,0.000000,0.000000,0.000000,219.3655,335.2405,115.8750,0.08150,0.00000,-0.903599,CCW,0
26.37600,0.000000,0.000000,0.000000,0.000000,219.4024,335.2405,115.8381,0.08150,0.00000,-0.903003,CCW,0
26.37800,0.000000,0.000000,0.000000,0.000000,219.4392,335.2405,115.8013,0.08150,0.00000,-0.902408,CCW,0
26.38000,0.000000,0.000000,0.000000,0.000000,219.4761,335.2405,115.7644,0.08150,0.00000,-0.901813,CCW,0
26.38200,0.000000,0.000000,0.000000,0.000000,219.5129,335.2405,115.7276,0.08150,0.00000,-0.901220,CCW,0
26.38400,0.000000,0.000000,0.000000,0.000000,219.5496,335.2405,115.6909,0.08150,0.00000,-0.900629,CCW,0
26.38600,0.000000,0.000000,0.000000,0.000000,219.5864,335.2405,115.6541,0.08150,0.00000,-0.900038,CCW,0
26.38800,0.000000,0.000000,0.000000,0.000000,219.6231,335.2405,115.6174,0.08150,0.00000,-0.899448,CCW,0
26.39000,0.000000,0.000000,0.000000,0.000000,219.6598,335.2405,115.5807,0.08150,0.00000,-0.898860,CCW,0
26.39200,0.000000,0.000000,0.000000,0.000000,219.6964,335.2405,115.5441,0.08150,0.00000,-0.898273,CCW,0
26.39400,0.000000,0.000000,0.000000,0.000000,219.7330,335.2405,115.5075,0.08150,0.00000,-0.897687,CCW,0
26.39600,0.000000,0.000000,0.000000,0.000000,219.7696,335.2405,115.4709,0.08150,0.00000,-0.897102,CCW,0
26.39800,0.000000,0.000000,0.000000,0.000000,219.8062,335.2405,115.4343,0.08150,0.00000,-0.896519,CCW,0
26.40000,0.000000,0.000000,0.000000,0.000000,219.8427,335.2405,115.3978,0.08150,0.00000,-0.895936,CCW,0
26.40200,0.000000,0.000000,0.000000,0.000000,219.8792,335.2405,115.3613,0.08150,0.00000,-0.895355,CCW,0
26.40400,0.000000,0.000000,0.000000,0.000000,219.9157,335.2405,115.3248,0.08150,0.00000,-0.894775,CCW,0
